Customer_ID,Country,Gender,First_Name,Last_Name,Birth_Date,contracted_service
1,US,M,James,Kvarniq,16/06/1978,503
2,DE,F,Sandrina,Stephano,11/02/1993,501
3,DE,F,Cornelia,Krahl,12/08/1995,500
4,US,F,Karen,Ballinger,01/12/1998,509
5,DE,F,Elke,Wallstab,26/08/1976,502
6,US,M,David,Black,16/01/1986,503
7,DE,M,Markus,Sepke,08/11/1998,506
8,DE,M,Ulrich,Heyde,23/01/2002,503
9,US,M,Jimmie,Evans,18/12/1992,501
10,US,M,Tonie,Asmussen,18/04/1976,505
11,DE,M,Oliver,Fooling,05/02/1991,502
12,US,M,Michael,Dineley,19/08/1986,501
13,US,M,Tulio,Devereaux,01/08/1994,508
14,US,F,Robyn,Klem,30/08/1992,500
15,US,F,Cynthia,Mccluney,07/01/1982,505
16,AU,F,Candy,Kinsey,19/06/1993,507
17,US,F,Cynthia,Martinez,11/05/1996,503
18,DE,M,Rolf,Robak,10/11/1983,505
19,US,M,Alvan,Goheen,22/09/1980,504
20,US,M,Phenix,Hill,30/03/2002,506
21,US,M,Alphone,Greenwald,29/04/1994,502
22,AU,M,Wendell,Summersby,01/05/1990,506
23,DE,M,Thomas,Leitmann,13/05/1979,502
24,US,F,Dianne,Patchin,10/03/1975,509
25,US,F,Annmarie,Leveille,08/10/1983,507
26,DE,M,Gunter,Mendler,26/01/1983,502
27,US,M,Yan,Kozlowski,19/09/1987,500
28,AU,F,Dericka,Pockran,12/06/1990,507
29,US,M,Roy,Siferd,22/09/1994,502
30,US,F,Tedi,Lanzarone,22/03/1990,501
31,DE,M,Carsten,Maestrini,29/07/1982,503
32,US,M,James,Klisurich,02/02/1985,509
33,DE,F,Ines,Deisser,16/09/1999,506
34,US,F,Patricia,Bertolozzi,05/08/1993,501
35,US,F,Viola,Folsom,27/04/1995,504
36,US,M,Mikel,Spetz,11/12/1992,502
37,US,F,Najma,Hicks,16/09/1989,502
38,US,M,Attila,Gibbs,12/01/1981,504
39,US,F,Wynella,Lewis,24/11/1986,508
40,US,F,Kyndal,Hooks,19/09/1999,502
41,US,M,Lendon,Celii,05/10/2002,508
42,AU,F,Karolina,Dokter,13/05/1990,501
43,AU,M,Robert,Bowerman,09/11/1994,503
44,AU,M,Duncan,Robertshawe,05/07/1991,501
45,AU,M,Cosi,Rimmington,18/01/1976,503
46,AU,M,Ramesh,Trentholme,22/02/1981,501
47,TR,M,Avni,Argac,10/07/1986,502
48,TR,M,Avni,Umran,07/05/1994,508
49,TR,M,Bulent,Urfalioglu,09/07/1997,501
50,TR,M,Selim,Okay,17/06/1997,501
51,TR,M,Ahmet,Canko,08/12/1991,507
52,TR,M,Carglar,Aydemir,09/10/1987,501
53,ZA,F,Sanelisiwe,Collier,21/04/1989,501
54,ZA,M,Theunis,Brazier,08/02/1977,507
55,TR,M,Serdar,Yucel,14/12/1985,504
56,ZA,F,Raedene,VanDen,15/12/1976,504
57,ZA,F,Rita,Lotz,23/07/1983,509
58,CA,M,Bill,Cuddy,19/01/1979,500
59,IL,M,Avinoam,Zweig,11/02/1980,500
61,IL,M,Eyal,Bloch,26/06/2002,503
64,IL,M,Avinoam,Tuvia,18/04/1996,504
65,CA,M,Andreas,Rennie,04/06/1989,501
66,CA,F,Lauren,Krasowski,16/01/2001,508
67,CA,F,Lauren,Marx,10/01/1988,504
68,CA,M,Tommy,Mcdonald,13/06/1985,502
69,CA,M,Colin,Byarley,01/01/2000,509
70,CA,F,Lera,Knott,06/12/1988,508
71,CA,F,Wilma,Yeargan,17/02/1989,508
72,CA,M,Patrick,Leach,19/10/1994,506
73,CA,F,Portia,Reynoso,26/11/1982,504
74,CA,F,Soberina,Berent,20/05/1979,503
75,CA,F,Angel,Borwick,08/01/1976,500
76,CA,M,Alex,Santinello,15/11/1999,506
77,CA,M,Kenan,Talarr,13/02/2002,507
